Nombre,Apellido,Direccion,Telefono,email,TipoCliente
Pet,Arboine,81973 Spohn Plaza,651-214-5129,parboine2c@cmu.edu,Agencia
Harlie,McElane,08408 Ridgeview Street,810-248-5731,hmcelane2d@ox.ac.uk,Persona
Niles,Purrington,1242 Macpherson Street,533-360-9123,npurrington2e@webeden.co.uk,Agencia
Elianore,Elliff,6286 Scoville Point,812-690-5866,eelliff2f@usatoday.com,Persona
Phyllida,Casone,6866 Crownhardt Crossing,680-245-3473,pcasone2g@tinyurl.com,Persona
Robers,Silson,63 Fuller Point,207-209-0420,rsilson2h@is.gd,Persona
Collen,Blenkharn,586 7th Center,586-957-1300,cblenkharn2i@jigsy.com,Persona
Eugen,Tudge,94 Declaration Plaza,787-614-3692,etudge2j@hatena.ne.jp,Agencia
Buiron,Calvard,1 Clarendon Hill,530-756-8243,bcalvard2k@spiegel.de,Agencia
Weber,Grishechkin,62 Vahlen Circle,616-804-3945,wgrishechkin2l@amazon.co.uk,Persona
Randie,Goffe,358 Anniversary Parkway,446-771-4381,rgoffe2m@flavors.me,Agencia
Drud,Carden,8 Bartillon Place,866-996-0374,dcarden2n@dedecms.com,Persona
Charmian,MacCartan,547 Fieldstone Court,369-462-8583,cmaccartan2o@thetimes.co.uk,Agencia
Monte,Normavill,3 Service Hill,599-996-4934,mnormavill2p@nifty.com,Agencia
Aubry,Aarons,11 Hintze Place,357-935-7219,aaarons2q@weather.com,Agencia
Celina,Siemandl,96878 Meadow Valley Pass,520-124-6074,csiemandl2r@myspace.com,Agencia
